DEMREL07,DEMID07,DEMSN07,RELPCG07,RELOCG07,SIBIND07,CH07PRWT,CH07WT,PCGRES07,OCGRES07,ASMRES07,CHRES07,TDRES07,CCDRES07,IWER07,SBLNUM07,BIOPR07,BIOGPR07
2,5070,3,4,1,1,17.570999,19.497999,1,5,1,1,1,1,3024,1,1,2
2,5070,4,4,1,1,17.339001,19.049999,1,5,1,1,1,1,3045,1,1,2
2,5084,3,1,4,5,12.933,14.202,1,1,1,1,1,1,3037,9,1,2
2,5166,3,1,4,1,29.636999,33.597,1,1,1,1,1,0,3002,1,1,2
2,5166,4,1,4,1,29.037001,32.529999,1,1,1,1,1,0,3002,1,1,2
2,2774,3,4,1,5,23.604,26.136999,1,1,1,1,1,1,3038,0,1,2
2,2408,3,1,4,5,38.687,0,1,1,5,5,5,5,3049,1,1,2
2,4353,3,1,4,1,17.674,18.667,1,1,1,1,1,1,3008,1,1,2
2,4353,4,1,4,1,17.184999,17.922001,1,1,1,1,1,1,3008,1,1,2
2,6225,3,1,4,5,19.51,0,1,5,5,5,5,5,3031,0,1,2
2,464,3,1,4,5,18.339001,19.143,1,5,1,1,1,1,3008,2,1,2
2,258,3,1,4,1,23.308001,24.523001,1,5,1,1,1,1,3010,1,1,2
2,258,4,1,4,1,23.104,24.225,1,5,1,1,1,1,3010,1,1,2
2,5053,4,1,4,5,21.164,22.753,1,1,1,1,1,1,3006,1,1,2
2,3053,3,1,14,5,40.273998,43.215,1,1,1,1,1,0,3006,1,2,2
2,5389,3,1,4,5,21.672001,22.367001,1,5,1,1,1,1,3004,2,1,2
2,380,3,1,4,1,13.712,14.288,1,1,1,1,1,1,3002,2,1,2
2,359,3,1,4,5,31.502001,33.907001,1,1,1,1,1,1,3002,1,1,0
2,380,4,1,4,1,13.608,14.139,1,1,1,1,1,1,3002,2,1,2
2,113,2,1,0,5,21.844999,23.740999,1,0,1,1,1,1,3002,0,2,0
2,2277,3,1,0,5,13.856,16.087999,1,0,1,1,5,0,3037,0,1,0
2,1488,3,7,0,5,26.240999,28.822001,1,0,1,1,1,1,3004,96,4,1
2,2139,3,1,4,1,16.346001,17.160999,1,5,1,1,1,1,3002,1,1,0
2,2139,4,1,4,1,16.044001,16.73,1,5,1,1,1,1,3002,1,1,0
2,2417,2,4,0,5,12.735,13.947,1,0,1,1,5,1,3040,96,3,2
2,6424,3,1,4,5,41.575001,43.780998,1,1,1,1,1,0,3010,0,1,2
2,3303,4,1,0,5,13.344,0,1,0,5,5,1,5,3047,1,2,0
2,3317,4,1,4,1,37.696999,39.298,1,1,1,1,1,1,3020,2,1,2
2,3317,5,1,4,1,37.486,38.973999,1,1,1,1,1,1,3020,2,1,2
2,2426,3,1,4,5,21.573999,23.503,1,1,1,1,1,1,3020,96,1,2
2,5360,3,1,4,1,24.864,27.021,1,1,1,1,1,0,3020,1,1,2
2,5360,4,1,4,1,24.632,26.268999,1,1,1,1,1,0,3020,1,1,2
