FUPREL97,FUPID97,FUPSN97,WEEKDAY,WDTDMON,WDTDDAY,WDTDYR,WDIWMON,WDIWDAY,WDIWYR,WD_DAY,WD_A1,WD_A2,WD_SAQ,WD_FTF,WD_PHONE,WEEKEND,WETDMON,WETDDAY,WETDYR,WEIWMON,WEIWDAY,WEIWYR,WE_DAY,WE_A1,WE_A2,WE_SAQ,WE_FTF,WE_PHONE
3,3357,4,1,4,11,1997,4,14,1997,5,2,3,1,5,5,1,4,13,1997,4,14,1997,7,2,3,1,5,5
3,1216,3,1,6,2,1997,6,3,1997,1,1,3,5,5,1,1,6,7,1997,6,9,1997,6,1,2,5,1,5
3,2771,4,1,4,21,1997,4,24,1997,1,2,3,5,1,5,1,4,20,1997,4,24,1997,7,2,3,5,1,5
3,5777,5,1,11,6,1997,11,8,1997,4,2,2,9,9,9,1,11,2,1997,11,8,1997,6,3,1,1,5,1
3,399,3,1,5,19,1997,5,22,1997,1,1,1,1,5,1,1,5,17,1997,5,22,1997,6,1,1,1,5,1
3,45,3,1,3,14,1997,3,17,1997,5,1,1,5,5,5,1,3,15,1997,3,17,1997,6,1,5,1,1,5
3,45,2,1,3,14,1997,3,17,1997,5,1,1,1,1,5,1,3,15,1997,3,17,1997,6,1,5,1,1,5
3,40,2,1,3,19,1997,3,24,1997,3,1,9,5,1,5,1,3,22,1997,3,24,1997,6,1,1,5,1,5
3,40,3,1,3,19,1997,3,24,1997,3,1,1,5,1,5,1,3,22,1997,3,24,1997,6,1,1,9,9,9
3,1042,3,1,10,28,1997,11,9,1997,2,1,1,5,1,5,1,10,26,1997,11,9,1997,7,1,3,5,1,5
3,1042,5,1,10,28,1997,11,9,1997,2,1,1,5,1,5,1,10,26,1997,11,9,1997,7,1,3,5,1,5
3,756,4,1,3,26,1997,3,29,1997,3,4,1,1,5,5,1,3,22,1997,3,29,1997,6,4,1,1,5,5
3,2967,3,1,99,99,9999,99,99,9999,1,9,1,9,9,9,1,99,99,9999,99,99,9999,6,1,1,5,1,5
3,2967,5,1,99,99,9999,99,99,9999,1,9,1,5,1,5,1,99,99,9999,99,99,9999,6,9,1,5,1,5
3,1576,4,1,4,30,1997,5,2,1997,3,1,4,1,5,5,1,4,26,1997,5,2,1997,6,1,4,1,5,5
