CHLDID02,CHLDSN02,PCGID02,PCGSN02,CDSHID02,PCGINST02,PCG68ID02,PCGPN02
2202,2,2202,1,475,1,5922,38
2202,3,2202,1,475,1,5922,38
2204,3,2204,2,476,1,3024,2
2206,3,2206,2,477,1,61,5
2206,5,2206,2,477,1,61,5
2210,3,2210,2,478,1,2478,3
2211,3,2211,1,479,1,5287,178
2211,4,2211,1,479,1,5287,178
2213,2,2213,1,480,1,5287,173
2215,3,2215,2,481,1,2727,171
2215,4,2215,2,481,1,2727,171
2218,3,2218,2,482,1,6822,174
2220,2,2220,1,483,1,6845,7
2222,4,2222,1,484,1,6845,5
2222,5,2222,1,484,1,6845,5
2227,2,2227,1,485,1,2852,172
2227,4,2227,1,485,1,2852,172
2228,3,2228,1,486,1,3422,1
2230,3,2230,2,487,1,1131,173
2230,5,2230,2,487,1,1131,173
2233,4,2233,2,488,1,976,172
2237,3,2237,2,489,1,2410,3
2237,4,2237,2,489,1,2410,3
2238,3,2238,2,490,1,2410,30
2241,2,2241,1,491,1,728,30
2242,3,2242,2,492,1,6210,30
2246,2,2246,1,493,1,5559,172
2248,2,2248,1,494,1,5292,9
2255,3,2255,2,495,1,817,170
2258,4,2258,2,496,1,1822,171
2267,2,2267,1,497,1,6655,3
2267,3,2267,1,497,1,6655,3
2269,2,2269,1,498,1,5959,7
2272,3,2272,2,499,1,1901,30
2277,3,2277,1,500,1,3349,1
2277,4,2277,1,500,1,3349,1
2285,3,2285,2,501,1,2590,32
2285,4,2285,2,501,1,2590,32
2290,3,2290,2,502,1,1898,3
2300,4,2300,2,503,1,5569,177
2303,3,2303,1,504,1,5813,6
2303,4,2303,1,504,1,5813,6
2305,3,2305,2,505,1,2509,177
